Prediction Accuracy = 32.892%, Running Loss = 5.746356391906739
Prediction Accuracy = 32.949999999999996%, Running Loss = 5.7447089672088625
Prediction Accuracy = 32.98800000000001%, Running Loss = 5.74319052696228
Prediction Accuracy = 33.034%, Running Loss = 5.741881227493286
Prediction Accuracy = 33.062%, Running Loss = 5.740445947647094
Prediction Accuracy = 33.08800000000001%, Running Loss = 5.739133358001709
Prediction Accuracy = 33.138%, Running Loss = 5.737846231460571
Prediction Accuracy = 33.202%, Running Loss = 5.73654088973999
Prediction Accuracy = 33.257999999999996%, Running Loss = 5.735324048995972
Prediction Accuracy = 33.312%, Running Loss = 5.734215497970581
Prediction Accuracy = 33.391999999999996%, Running Loss = 5.732983827590942
Prediction Accuracy = 33.422000000000004%, Running Loss = 5.731869125366211
Prediction Accuracy = 33.49%, Running Loss = 5.730879020690918
Prediction Accuracy = 33.532%, Running Loss = 5.72987003326416
Prediction Accuracy = 33.584%, Running Loss = 5.728581285476684
Prediction Accuracy = 33.67%, Running Loss = 5.7274984359741214
Prediction Accuracy = 33.702%, Running Loss = 5.726515388488769
Prediction Accuracy = 33.766%, Running Loss = 5.725603485107422
Prediction Accuracy = 33.85799999999999%, Running Loss = 5.724552917480469
Prediction Accuracy = 33.897999999999996%, Running Loss = 5.723478984832764
Prediction Accuracy = 33.962%, Running Loss = 5.722630214691162
Prediction Accuracy = 34.068%, Running Loss = 5.721850872039795
Prediction Accuracy = 34.072%, Running Loss = 5.720698976516724
Prediction Accuracy = 34.098%, Running Loss = 5.719998598098755
Prediction Accuracy = 34.14%, Running Loss = 5.718886613845825
Prediction Accuracy = 34.21%, Running Loss = 5.7179924011230465
Prediction Accuracy = 34.284%, Running Loss = 5.717220735549927
Prediction Accuracy = 34.321999999999996%, Running Loss = 5.716411113739014
Prediction Accuracy = 34.384%, Running Loss = 5.715566492080688
Prediction Accuracy = 34.448%, Running Loss = 5.714784097671509
Prediction Accuracy = 34.465999999999994%, Running Loss = 5.713825511932373
Prediction Accuracy = 34.53000000000001%, Running Loss = 5.713029766082764
Prediction Accuracy = 34.586%, Running Loss = 5.712307548522949
Prediction Accuracy = 34.66%, Running Loss = 5.71151876449585
Prediction Accuracy = 34.726000000000006%, Running Loss = 5.710693454742431
Prediction Accuracy = 34.76800000000001%, Running Loss = 5.7100849628448485
Prediction Accuracy = 34.842%, Running Loss = 5.709275436401367
Prediction Accuracy = 34.931999999999995%, Running Loss = 5.708577489852905
Prediction Accuracy = 34.96%, Running Loss = 5.707780027389527
Prediction Accuracy = 35.041999999999994%, Running Loss = 5.707080936431884
Prediction Accuracy = 35.056%, Running Loss = 5.706332540512085
Prediction Accuracy = 35.14%, Running Loss = 5.705719041824341
Prediction Accuracy = 35.175999999999995%, Running Loss = 5.7049665451049805
Prediction Accuracy = 35.248000000000005%, Running Loss = 5.7043335914611815
Prediction Accuracy = 35.327999999999996%, Running Loss = 5.70366415977478
Prediction Accuracy = 35.352%, Running Loss = 5.703145694732666
Prediction Accuracy = 35.39%, Running Loss = 5.702327585220337
Prediction Accuracy = 35.425999999999995%, Running Loss = 5.701760864257812
Prediction Accuracy = 35.501999999999995%, Running Loss = 5.701217222213745
Prediction Accuracy = 35.576%, Running Loss = 5.700415706634521
Prediction Accuracy = 35.67%, Running Loss = 5.700091981887818
Prediction Accuracy = 35.67399999999999%, Running Loss = 5.699350166320801
Prediction Accuracy = 35.74400000000001%, Running Loss = 5.6987633228302
Prediction Accuracy = 35.772000000000006%, Running Loss = 5.698154401779175
Prediction Accuracy = 35.87%, Running Loss = 5.697587203979492
Prediction Accuracy = 35.962%, Running Loss = 5.6969774723052975
Prediction Accuracy = 36.022000000000006%, Running Loss = 5.696417760848999
Prediction Accuracy = 36.089999999999996%, Running Loss = 5.696137094497681
Prediction Accuracy = 36.146%, Running Loss = 5.6955162525177006
Prediction Accuracy = 36.168000000000006%, Running Loss = 5.69481258392334
Prediction Accuracy = 36.25000000000001%, Running Loss = 5.694292068481445
Prediction Accuracy = 36.286%, Running Loss = 5.693714666366577
Prediction Accuracy = 36.31%, Running Loss = 5.693249368667603
Prediction Accuracy = 36.36%, Running Loss = 5.692662191390991
Prediction Accuracy = 36.37%, Running Loss = 5.692176342010498
Prediction Accuracy = 36.39%, Running Loss = 5.691950893402099
Prediction Accuracy = 36.495999999999995%, Running Loss = 5.6917986392974855
Prediction Accuracy = 36.55%, Running Loss = 5.691234970092774
Prediction Accuracy = 36.576%, Running Loss = 5.690316295623779
Prediction Accuracy = 36.636%, Running Loss = 5.689793968200684
Prediction Accuracy = 36.656000000000006%, Running Loss = 5.689320039749146
Prediction Accuracy = 36.705999999999996%, Running Loss = 5.6889166831970215
Prediction Accuracy = 36.796%, Running Loss = 5.688313722610474
Prediction Accuracy = 36.82%, Running Loss = 5.687869215011597
Prediction Accuracy = 36.886%, Running Loss = 5.687410020828247
Prediction Accuracy = 36.91%, Running Loss = 5.6869957447052
Prediction Accuracy = 36.98800000000001%, Running Loss = 5.686587142944336
