Prediction Accuracy = 42.42%, Running Loss = 5.647534513473511
Prediction Accuracy = 42.694%, Running Loss = 5.650050926208496
Prediction Accuracy = 42.61%, Running Loss = 5.646519327163697
Prediction Accuracy = 42.391999999999996%, Running Loss = 5.659157609939575
Prediction Accuracy = 42.49400000000001%, Running Loss = 5.65734338760376
Prediction Accuracy = 42.574000000000005%, Running Loss = 5.650720739364624
Prediction Accuracy = 42.574%, Running Loss = 5.658100843429565
Prediction Accuracy = 42.4%, Running Loss = 5.646816730499268
Prediction Accuracy = 42.474000000000004%, Running Loss = 5.644421863555908
Prediction Accuracy = 42.44199999999999%, Running Loss = 5.647262191772461
Prediction Accuracy = 42.462%, Running Loss = 5.64921088218689
Prediction Accuracy = 42.504%, Running Loss = 5.645823335647583
Prediction Accuracy = 42.548%, Running Loss = 5.64661808013916
Prediction Accuracy = 42.588%, Running Loss = 5.64467487335205
Prediction Accuracy = 42.602%, Running Loss = 5.651846837997437
Prediction Accuracy = 42.489999999999995%, Running Loss = 5.65331802368164
Prediction Accuracy = 42.408%, Running Loss = 5.662938070297241
Prediction Accuracy = 42.574000000000005%, Running Loss = 5.642159128189087
Prediction Accuracy = 42.529999999999994%, Running Loss = 5.646068143844604
Prediction Accuracy = 42.501999999999995%, Running Loss = 5.6512956619262695
Prediction Accuracy = 42.676%, Running Loss = 5.649920654296875
Prediction Accuracy = 42.71399999999999%, Running Loss = 5.64610447883606
Prediction Accuracy = 42.616%, Running Loss = 5.648932981491089
Prediction Accuracy = 42.556%, Running Loss = 5.646717834472656
Prediction Accuracy = 42.694%, Running Loss = 5.648106241226197
Prediction Accuracy = 42.58800000000001%, Running Loss = 5.64605302810669
Prediction Accuracy = 42.638%, Running Loss = 5.645445871353149
Prediction Accuracy = 42.512%, Running Loss = 5.665239763259888
Prediction Accuracy = 42.57000000000001%, Running Loss = 5.675840711593628
Prediction Accuracy = 42.327999999999996%, Running Loss = 5.682657861709595
Prediction Accuracy = 42.318000000000005%, Running Loss = 5.653540515899659
Prediction Accuracy = 42.546%, Running Loss = 5.656147813796997
Prediction Accuracy = 42.428000000000004%, Running Loss = 5.64842529296875
Prediction Accuracy = 42.46%, Running Loss = 5.656745910644531
Prediction Accuracy = 42.636%, Running Loss = 5.646415138244629
Prediction Accuracy = 42.620000000000005%, Running Loss = 5.653866529464722
Prediction Accuracy = 42.54600000000001%, Running Loss = 5.65714659690857
Prediction Accuracy = 42.425999999999995%, Running Loss = 5.671651411056518
Prediction Accuracy = 42.489999999999995%, Running Loss = 5.665165710449219
