Prediction Accuracy = 42.13199999999999%, Running Loss = 5.64040732383728
Prediction Accuracy = 42.19799999999999%, Running Loss = 5.641622591018677
Prediction Accuracy = 42.174%, Running Loss = 5.640243339538574
Prediction Accuracy = 42.2%, Running Loss = 5.640118741989136
Prediction Accuracy = 42.178000000000004%, Running Loss = 5.639993524551391
Prediction Accuracy = 42.226%, Running Loss = 5.640020513534546
Prediction Accuracy = 42.269999999999996%, Running Loss = 5.640866661071778
Prediction Accuracy = 42.312%, Running Loss = 5.643704128265381
Prediction Accuracy = 42.275999999999996%, Running Loss = 5.640450477600098
Prediction Accuracy = 42.366%, Running Loss = 5.640253257751465
Prediction Accuracy = 42.29%, Running Loss = 5.640734243392944
Prediction Accuracy = 42.346%, Running Loss = 5.639578819274902
Prediction Accuracy = 42.32%, Running Loss = 5.6412934303283695
Prediction Accuracy = 42.34%, Running Loss = 5.639777755737304
Prediction Accuracy = 42.376%, Running Loss = 5.63938570022583
Prediction Accuracy = 42.434%, Running Loss = 5.639973258972168
Prediction Accuracy = 42.36%, Running Loss = 5.638951110839844
Prediction Accuracy = 42.410000000000004%, Running Loss = 5.640445613861084
Prediction Accuracy = 42.39%, Running Loss = 5.638165521621704
Prediction Accuracy = 42.448%, Running Loss = 5.641289091110229
Prediction Accuracy = 42.446000000000005%, Running Loss = 5.641713047027588
Prediction Accuracy = 42.488%, Running Loss = 5.643752670288086
Prediction Accuracy = 42.54%, Running Loss = 5.6396503925323485
Prediction Accuracy = 42.54600000000001%, Running Loss = 5.63823356628418
Prediction Accuracy = 42.542%, Running Loss = 5.641217660903931
Prediction Accuracy = 42.568000000000005%, Running Loss = 5.643878078460693
Prediction Accuracy = 42.516000000000005%, Running Loss = 5.642616176605225
Prediction Accuracy = 42.64%, Running Loss = 5.6395533084869385
Prediction Accuracy = 42.468%, Running Loss = 5.638672351837158
Prediction Accuracy = 42.594%, Running Loss = 5.638288736343384
Prediction Accuracy = 42.64999999999999%, Running Loss = 5.638900804519653
Prediction Accuracy = 42.554%, Running Loss = 5.641282033920288
Prediction Accuracy = 42.638000000000005%, Running Loss = 5.638440084457398
Prediction Accuracy = 42.528%, Running Loss = 5.639254903793335
Prediction Accuracy = 42.632000000000005%, Running Loss = 5.638777589797973
Prediction Accuracy = 42.572%, Running Loss = 5.638620519638062
Prediction Accuracy = 42.658%, Running Loss = 5.638917589187622
Prediction Accuracy = 42.55%, Running Loss = 5.638771629333496
Prediction Accuracy = 42.644%, Running Loss = 5.639021539688111
Prediction Accuracy = 42.65599999999999%, Running Loss = 5.63828854560852
Prediction Accuracy = 42.57200000000001%, Running Loss = 5.640437889099121
Prediction Accuracy = 42.690000000000005%, Running Loss = 5.639421606063843
Prediction Accuracy = 42.532%, Running Loss = 5.639941215515137
Prediction Accuracy = 42.726%, Running Loss = 5.638681173324585
Prediction Accuracy = 42.541999999999994%, Running Loss = 5.638823175430298
Prediction Accuracy = 42.794%, Running Loss = 5.641380977630615
Prediction Accuracy = 42.693999999999996%, Running Loss = 5.639525413513184
Prediction Accuracy = 42.672000000000004%, Running Loss = 5.640608549118042
Prediction Accuracy = 42.67%, Running Loss = 5.638786125183105
Prediction Accuracy = 42.642%, Running Loss = 5.6393577575683596
Prediction Accuracy = 42.68%, Running Loss = 5.640267086029053
Prediction Accuracy = 42.606%, Running Loss = 5.639276027679443
Prediction Accuracy = 42.64399999999999%, Running Loss = 5.6389916896820065
Prediction Accuracy = 42.654%, Running Loss = 5.640335655212402
Prediction Accuracy = 42.693999999999996%, Running Loss = 5.638550901412964
Prediction Accuracy = 42.678%, Running Loss = 5.638304853439331
Prediction Accuracy = 42.67%, Running Loss = 5.639131641387939
Prediction Accuracy = 42.67%, Running Loss = 5.639340353012085
Prediction Accuracy = 42.67%, Running Loss = 5.640518617630005
Prediction Accuracy = 42.594%, Running Loss = 5.639602613449097
Prediction Accuracy = 42.678%, Running Loss = 5.6392944812774655
Prediction Accuracy = 42.739999999999995%, Running Loss = 5.639064455032349
Prediction Accuracy = 42.583999999999996%, Running Loss = 5.640696096420288
Prediction Accuracy = 42.730000000000004%, Running Loss = 5.642331218719482
Prediction Accuracy = 42.660000000000004%, Running Loss = 5.638483715057373
Prediction Accuracy = 42.634%, Running Loss = 5.638321876525879
Prediction Accuracy = 42.69199999999999%, Running Loss = 5.637937784194946
Prediction Accuracy = 42.644000000000005%, Running Loss = 5.638421106338501
Prediction Accuracy = 42.684%, Running Loss = 5.6391078472137455
Prediction Accuracy = 42.57000000000001%, Running Loss = 5.638186454772949
Prediction Accuracy = 42.730000000000004%, Running Loss = 5.637933301925659
Prediction Accuracy = 42.699999999999996%, Running Loss = 5.6393958568573
Prediction Accuracy = 42.629999999999995%, Running Loss = 5.639208984375
Prediction Accuracy = 42.688%, Running Loss = 5.639328050613403
Prediction Accuracy = 42.632000000000005%, Running Loss = 5.638410425186157
Prediction Accuracy = 42.706%, Running Loss = 5.6380843162536625
Prediction Accuracy = 42.593999999999994%, Running Loss = 5.639678335189819
Prediction Accuracy = 42.652%, Running Loss = 5.639848804473877
Prediction Accuracy = 42.715999999999994%, Running Loss = 5.640377759933472
Prediction Accuracy = 42.64%, Running Loss = 5.641631412506103
Prediction Accuracy = 42.612%, Running Loss = 5.639981460571289
Prediction Accuracy = 42.768%, Running Loss = 5.639458417892456
Prediction Accuracy = 42.534000000000006%, Running Loss = 5.637905836105347
Prediction Accuracy = 42.684%, Running Loss = 5.639502477645874
Prediction Accuracy = 42.582%, Running Loss = 5.638981485366822
Prediction Accuracy = 42.64%, Running Loss = 5.638415765762329
Prediction Accuracy = 42.672000000000004%, Running Loss = 5.638909816741943
Prediction Accuracy = 42.730000000000004%, Running Loss = 5.638660478591919
Prediction Accuracy = 42.635999999999996%, Running Loss = 5.638948059082031
Prediction Accuracy = 42.660000000000004%, Running Loss = 5.6401725769042965
Prediction Accuracy = 42.718%, Running Loss = 5.6376245498657225
Prediction Accuracy = 42.698%, Running Loss = 5.642400169372559
Prediction Accuracy = 42.742000000000004%, Running Loss = 5.639249277114868
Prediction Accuracy = 42.644%, Running Loss = 5.63870644569397
Prediction Accuracy = 42.653999999999996%, Running Loss = 5.638802433013916
Prediction Accuracy = 42.654%, Running Loss = 5.638238334655762
Prediction Accuracy = 42.681999999999995%, Running Loss = 5.638172197341919
Prediction Accuracy = 42.577999999999996%, Running Loss = 5.638456106185913
Prediction Accuracy = 42.757999999999996%, Running Loss = 5.639069890975952
Prediction Accuracy = 42.634%, Running Loss = 5.643269348144531
Prediction Accuracy = 42.693999999999996%, Running Loss = 5.645272302627563
Prediction Accuracy = 42.614000000000004%, Running Loss = 5.641800737380981
Prediction Accuracy = 42.739999999999995%, Running Loss = 5.640467977523803
Prediction Accuracy = 42.732000000000006%, Running Loss = 5.64283185005188
Prediction Accuracy = 42.614%, Running Loss = 5.643256759643554
Prediction Accuracy = 42.622%, Running Loss = 5.642996978759766
Prediction Accuracy = 42.662000000000006%, Running Loss = 5.641628980636597
Prediction Accuracy = 42.672%, Running Loss = 5.639740371704102
Prediction Accuracy = 42.642%, Running Loss = 5.638584423065185
Prediction Accuracy = 42.666000000000004%, Running Loss = 5.638665866851807
Prediction Accuracy = 42.664%, Running Loss = 5.638557004928589
Prediction Accuracy = 42.67%, Running Loss = 5.638630723953247
Prediction Accuracy = 42.754000000000005%, Running Loss = 5.642367887496948
Prediction Accuracy = 42.574%, Running Loss = 5.639766025543213
Prediction Accuracy = 42.732%, Running Loss = 5.641173648834228
Prediction Accuracy = 42.67399999999999%, Running Loss = 5.644849109649658
Prediction Accuracy = 42.714%, Running Loss = 5.6447532176971436
Prediction Accuracy = 42.6%, Running Loss = 5.643550443649292
Prediction Accuracy = 42.706%, Running Loss = 5.638480758666992
Prediction Accuracy = 42.596000000000004%, Running Loss = 5.639050626754761
Prediction Accuracy = 42.69199999999999%, Running Loss = 5.638141393661499
Prediction Accuracy = 42.612%, Running Loss = 5.640548992156982
Prediction Accuracy = 42.74400000000001%, Running Loss = 5.639182138442993
Prediction Accuracy = 42.678000000000004%, Running Loss = 5.6402195453643795
Prediction Accuracy = 42.734%, Running Loss = 5.639451169967652
Prediction Accuracy = 42.64%, Running Loss = 5.6418599605560305
Prediction Accuracy = 42.7%, Running Loss = 5.63955659866333
Prediction Accuracy = 42.620000000000005%, Running Loss = 5.64134840965271
Prediction Accuracy = 42.69199999999999%, Running Loss = 5.641122770309448
Prediction Accuracy = 42.663999999999994%, Running Loss = 5.638492727279663
Prediction Accuracy = 42.678%, Running Loss = 5.63908019065857
Prediction Accuracy = 42.63%, Running Loss = 5.639887380599975
Prediction Accuracy = 42.730000000000004%, Running Loss = 5.638469552993774
Prediction Accuracy = 42.66%, Running Loss = 5.638634443283081
Prediction Accuracy = 42.658%, Running Loss = 5.6401286125183105
Prediction Accuracy = 42.654%, Running Loss = 5.638816261291504
Prediction Accuracy = 42.636%, Running Loss = 5.640246152877808
Prediction Accuracy = 42.709999999999994%, Running Loss = 5.642671060562134
Prediction Accuracy = 42.666%, Running Loss = 5.645432710647583
Prediction Accuracy = 42.766000000000005%, Running Loss = 5.645127010345459
Prediction Accuracy = 42.653999999999996%, Running Loss = 5.64220118522644
Prediction Accuracy = 42.704%, Running Loss = 5.642203330993652
Prediction Accuracy = 42.68399999999999%, Running Loss = 5.639912033081055
Prediction Accuracy = 42.635999999999996%, Running Loss = 5.638305377960205
Prediction Accuracy = 42.714%, Running Loss = 5.639523649215699
Prediction Accuracy = 42.714%, Running Loss = 5.639167165756225
Prediction Accuracy = 42.694%, Running Loss = 5.639142799377441
Prediction Accuracy = 42.684000000000005%, Running Loss = 5.641059684753418
Prediction Accuracy = 42.71%, Running Loss = 5.640077590942383
Prediction Accuracy = 42.672000000000004%, Running Loss = 5.641358041763306
Prediction Accuracy = 42.712%, Running Loss = 5.642328214645386
Prediction Accuracy = 42.678000000000004%, Running Loss = 5.6398420333862305
Prediction Accuracy = 42.774%, Running Loss = 5.641388607025147
Prediction Accuracy = 42.658%, Running Loss = 5.639984273910523
Prediction Accuracy = 42.624%, Running Loss = 5.638393449783325
Prediction Accuracy = 42.666%, Running Loss = 5.638001489639282
Prediction Accuracy = 42.67%, Running Loss = 5.638145446777344
Prediction Accuracy = 42.716%, Running Loss = 5.6396091938018795
Prediction Accuracy = 42.66799999999999%, Running Loss = 5.639635467529297
Prediction Accuracy = 42.718%, Running Loss = 5.639405822753906
Prediction Accuracy = 42.690000000000005%, Running Loss = 5.638657474517823
Prediction Accuracy = 42.652%, Running Loss = 5.639823484420776
Prediction Accuracy = 42.66799999999999%, Running Loss = 5.641307687759399
Prediction Accuracy = 42.730000000000004%, Running Loss = 5.643824911117553
Prediction Accuracy = 42.648%, Running Loss = 5.642326021194458
Prediction Accuracy = 42.714%, Running Loss = 5.639880561828614
Prediction Accuracy = 42.768%, Running Loss = 5.641488361358642
Prediction Accuracy = 42.696000000000005%, Running Loss = 5.640330362319946
Prediction Accuracy = 42.706%, Running Loss = 5.638635921478271
Prediction Accuracy = 42.614%, Running Loss = 5.639287996292114
Prediction Accuracy = 42.65%, Running Loss = 5.641289854049683
Prediction Accuracy = 42.66%, Running Loss = 5.640182209014893
Prediction Accuracy = 42.664%, Running Loss = 5.639209651947022
Prediction Accuracy = 42.678%, Running Loss = 5.639606618881226
Prediction Accuracy = 42.65%, Running Loss = 5.638467407226562
Prediction Accuracy = 42.638%, Running Loss = 5.639585018157959
Prediction Accuracy = 42.60000000000001%, Running Loss = 5.642328929901123
Prediction Accuracy = 42.662%, Running Loss = 5.641115617752075
Prediction Accuracy = 42.69799999999999%, Running Loss = 5.641215848922729
Prediction Accuracy = 42.664%, Running Loss = 5.6464423656463625
Prediction Accuracy = 42.693999999999996%, Running Loss = 5.644341564178466
Prediction Accuracy = 42.682%, Running Loss = 5.639476776123047
Prediction Accuracy = 42.68%, Running Loss = 5.642519235610962
Prediction Accuracy = 42.662000000000006%, Running Loss = 5.639614105224609
Prediction Accuracy = 42.744%, Running Loss = 5.639081382751465
