Prediction Accuracy = 33.14%, Running Loss = 5.730490207672119
Prediction Accuracy = 33.202%, Running Loss = 5.729532384872437
Prediction Accuracy = 33.275999999999996%, Running Loss = 5.728602647781372
Prediction Accuracy = 33.306%, Running Loss = 5.727609491348266
Prediction Accuracy = 33.384%, Running Loss = 5.72671365737915
Prediction Accuracy = 33.48800000000001%, Running Loss = 5.725738620758056
Prediction Accuracy = 33.482%, Running Loss = 5.724796152114868
Prediction Accuracy = 33.61%, Running Loss = 5.723912096023559
Prediction Accuracy = 33.62400000000001%, Running Loss = 5.722984170913696
Prediction Accuracy = 33.693999999999996%, Running Loss = 5.7221348762512205
Prediction Accuracy = 33.779999999999994%, Running Loss = 5.721262741088867
Prediction Accuracy = 33.833999999999996%, Running Loss = 5.720466899871826
Prediction Accuracy = 33.848%, Running Loss = 5.7196070671081545
Prediction Accuracy = 33.886%, Running Loss = 5.718891048431397
Prediction Accuracy = 33.988%, Running Loss = 5.7179724216461185
Prediction Accuracy = 34.07%, Running Loss = 5.717155456542969
Prediction Accuracy = 34.166%, Running Loss = 5.716755199432373
Prediction Accuracy = 34.263999999999996%, Running Loss = 5.715631198883057
Prediction Accuracy = 34.294000000000004%, Running Loss = 5.714915990829468
Prediction Accuracy = 34.285999999999994%, Running Loss = 5.714130973815918
Prediction Accuracy = 34.384%, Running Loss = 5.713333177566528
Prediction Accuracy = 34.482%, Running Loss = 5.712892389297485
Prediction Accuracy = 34.501999999999995%, Running Loss = 5.712006044387818
Prediction Accuracy = 34.547999999999995%, Running Loss = 5.711395502090454
Prediction Accuracy = 34.58%, Running Loss = 5.7105261325836185
Prediction Accuracy = 34.64200000000001%, Running Loss = 5.709875297546387
Prediction Accuracy = 34.694%, Running Loss = 5.709074831008911
Prediction Accuracy = 34.732%, Running Loss = 5.708513689041138
Prediction Accuracy = 34.736%, Running Loss = 5.707996082305908
Prediction Accuracy = 34.779999999999994%, Running Loss = 5.707169103622436
Prediction Accuracy = 34.858%, Running Loss = 5.70651159286499
Prediction Accuracy = 34.906%, Running Loss = 5.705857658386231
Prediction Accuracy = 34.968%, Running Loss = 5.705289268493653
Prediction Accuracy = 35.001999999999995%, Running Loss = 5.704683542251587
Prediction Accuracy = 35.025999999999996%, Running Loss = 5.704084253311157
Prediction Accuracy = 35.072%, Running Loss = 5.703513336181641
Prediction Accuracy = 35.129999999999995%, Running Loss = 5.702857446670532
