Prediction Accuracy = 41.698%, Running Loss = 5.6627285766601565
Prediction Accuracy = 41.748000000000005%, Running Loss = 5.6712594413757325
Prediction Accuracy = 41.986%, Running Loss = 5.663110342025757
Prediction Accuracy = 41.644%, Running Loss = 5.677139358520508
Prediction Accuracy = 40.158%, Running Loss = 5.6751095581054685
Prediction Accuracy = 41.27%, Running Loss = 5.702943649291992
Prediction Accuracy = 41.808%, Running Loss = 5.661115121841431
Prediction Accuracy = 40.858%, Running Loss = 5.672465476989746
Prediction Accuracy = 41.518%, Running Loss = 5.663287954330444
Prediction Accuracy = 41.614%, Running Loss = 5.684785823822022
Prediction Accuracy = 41.983999999999995%, Running Loss = 5.668223114013672
Prediction Accuracy = 42.354%, Running Loss = 5.664016904830933
Prediction Accuracy = 41.275999999999996%, Running Loss = 5.677625703811645
Prediction Accuracy = 41.598%, Running Loss = 5.678568124771118
Prediction Accuracy = 41.751999999999995%, Running Loss = 5.665919713973999
Prediction Accuracy = 41.30000000000001%, Running Loss = 5.681295728683471
Prediction Accuracy = 41.3%, Running Loss = 5.666985702514649
Prediction Accuracy = 41.855999999999995%, Running Loss = 5.659599285125733
Prediction Accuracy = 41.29%, Running Loss = 5.679114112854004
Prediction Accuracy = 41.088%, Running Loss = 5.671505603790283
Prediction Accuracy = 42.106%, Running Loss = 5.671768388748169
Prediction Accuracy = 41.556000000000004%, Running Loss = 5.674977083206176
Prediction Accuracy = 41.79%, Running Loss = 5.657044849395752
Prediction Accuracy = 42.10799999999999%, Running Loss = 5.658329811096191
Prediction Accuracy = 41.57%, Running Loss = 5.684731855392456
Prediction Accuracy = 39.904%, Running Loss = 5.698104257583618
Prediction Accuracy = 41.048%, Running Loss = 5.670081491470337
Prediction Accuracy = 42.068000000000005%, Running Loss = 5.663444099426269
Prediction Accuracy = 42.348%, Running Loss = 5.653067035675049
Prediction Accuracy = 42.132%, Running Loss = 5.660614786148071
Prediction Accuracy = 42.104%, Running Loss = 5.6545260143280025
Prediction Accuracy = 41.556%, Running Loss = 5.665222101211548
Prediction Accuracy = 41.7%, Running Loss = 5.656872434616089
Prediction Accuracy = 41.89200000000001%, Running Loss = 5.661528959274292
Prediction Accuracy = 40.42999999999999%, Running Loss = 5.673771629333496
Prediction Accuracy = 41.78799999999999%, Running Loss = 5.663290796279907
Prediction Accuracy = 41.792%, Running Loss = 5.660428047180176
Prediction Accuracy = 41.821999999999996%, Running Loss = 5.660424289703369
