Prediction Accuracy = 42.544000000000004%, Running Loss = 5.6503032684326175
Prediction Accuracy = 42.658%, Running Loss = 5.660701894760132
Prediction Accuracy = 42.58%, Running Loss = 5.649874353408814
Prediction Accuracy = 42.284%, Running Loss = 5.658269929885864
Prediction Accuracy = 42.284000000000006%, Running Loss = 5.655811309814453
Prediction Accuracy = 42.452%, Running Loss = 5.677661323547364
Prediction Accuracy = 42.525999999999996%, Running Loss = 5.698131704330445
Prediction Accuracy = 42.706%, Running Loss = 5.723425197601318
Prediction Accuracy = 42.554%, Running Loss = 5.680480432510376
Prediction Accuracy = 42.452%, Running Loss = 5.65897216796875
Prediction Accuracy = 42.592%, Running Loss = 5.649757623672485
Prediction Accuracy = 42.196000000000005%, Running Loss = 5.65235481262207
Prediction Accuracy = 42.652%, Running Loss = 5.6563942432403564
Prediction Accuracy = 42.26800000000001%, Running Loss = 5.6571364402771
Prediction Accuracy = 42.452000000000005%, Running Loss = 5.674066591262817
Prediction Accuracy = 42.178000000000004%, Running Loss = 5.649480247497559
Prediction Accuracy = 42.404%, Running Loss = 5.651198482513427
Prediction Accuracy = 42.484%, Running Loss = 5.651607942581177
Prediction Accuracy = 42.564%, Running Loss = 5.643143367767334
Prediction Accuracy = 42.492000000000004%, Running Loss = 5.655384206771851
Prediction Accuracy = 42.69199999999999%, Running Loss = 5.655314350128174
Prediction Accuracy = 42.658%, Running Loss = 5.64838433265686
Prediction Accuracy = 42.614%, Running Loss = 5.651816987991333
Prediction Accuracy = 42.626%, Running Loss = 5.64664249420166
Prediction Accuracy = 42.654%, Running Loss = 5.659543800354004
Prediction Accuracy = 42.449999999999996%, Running Loss = 5.658886289596557
Prediction Accuracy = 42.466%, Running Loss = 5.666441917419434
Prediction Accuracy = 42.60600000000001%, Running Loss = 5.666304016113282
Prediction Accuracy = 42.538%, Running Loss = 5.646266126632691
Prediction Accuracy = 42.581999999999994%, Running Loss = 5.656154012680053
Prediction Accuracy = 42.284000000000006%, Running Loss = 5.669821119308471
Prediction Accuracy = 42.408%, Running Loss = 5.659129619598389
Prediction Accuracy = 42.44799999999999%, Running Loss = 5.652597951889038
Prediction Accuracy = 42.540000000000006%, Running Loss = 5.656541156768799
Prediction Accuracy = 42.102%, Running Loss = 5.652856349945068
Prediction Accuracy = 42.279999999999994%, Running Loss = 5.650173854827881
Prediction Accuracy = 42.55799999999999%, Running Loss = 5.649091386795044
Prediction Accuracy = 42.458000000000006%, Running Loss = 5.64700083732605
Prediction Accuracy = 42.358000000000004%, Running Loss = 5.646357154846191
Prediction Accuracy = 42.628%, Running Loss = 5.643251037597656
Prediction Accuracy = 42.772000000000006%, Running Loss = 5.645129919052124
Prediction Accuracy = 42.562%, Running Loss = 5.647124814987182
Prediction Accuracy = 42.51%, Running Loss = 5.647649145126342
Prediction Accuracy = 42.554%, Running Loss = 5.6467287063598635
Prediction Accuracy = 42.568%, Running Loss = 5.6500426769256595
Prediction Accuracy = 42.467999999999996%, Running Loss = 5.648802900314331
Prediction Accuracy = 42.462%, Running Loss = 5.65551643371582
Prediction Accuracy = 42.53000000000001%, Running Loss = 5.644976329803467
Prediction Accuracy = 42.384%, Running Loss = 5.660646390914917
Prediction Accuracy = 42.61%, Running Loss = 5.6579742431640625
Prediction Accuracy = 42.55200000000001%, Running Loss = 5.650820541381836
Prediction Accuracy = 42.516000000000005%, Running Loss = 5.655716848373413
Prediction Accuracy = 42.608%, Running Loss = 5.671388244628906
Prediction Accuracy = 42.517999999999994%, Running Loss = 5.6875275611877445
Prediction Accuracy = 42.54%, Running Loss = 5.65263524055481
Prediction Accuracy = 42.512%, Running Loss = 5.662048864364624
Prediction Accuracy = 42.69%, Running Loss = 5.657690906524659
Prediction Accuracy = 42.614%, Running Loss = 5.648222637176514
Prediction Accuracy = 42.36%, Running Loss = 5.64521632194519
Prediction Accuracy = 41.839999999999996%, Running Loss = 5.645294237136841
Prediction Accuracy = 42.25600000000001%, Running Loss = 5.652041292190551
Prediction Accuracy = 42.480000000000004%, Running Loss = 5.648605823516846
Prediction Accuracy = 42.43000000000001%, Running Loss = 5.652927875518799
Prediction Accuracy = 42.386%, Running Loss = 5.6577588558197025
Prediction Accuracy = 42.446000000000005%, Running Loss = 5.663106060028076
Prediction Accuracy = 42.558%, Running Loss = 5.65344648361206
Prediction Accuracy = 42.318%, Running Loss = 5.6502069473266605
Prediction Accuracy = 42.346%, Running Loss = 5.651796865463257
Prediction Accuracy = 42.6%, Running Loss = 5.654202127456665
Prediction Accuracy = 42.356%, Running Loss = 5.650861120223999
Prediction Accuracy = 42.554%, Running Loss = 5.64429235458374
Prediction Accuracy = 42.48%, Running Loss = 5.6482823371887205
Prediction Accuracy = 42.492%, Running Loss = 5.711403894424438
Prediction Accuracy = 42.514%, Running Loss = 5.723376750946045
Prediction Accuracy = 42.342%, Running Loss = 5.703141069412231
Prediction Accuracy = 42.156%, Running Loss = 5.678298425674439
Prediction Accuracy = 42.446000000000005%, Running Loss = 5.691215944290161
Prediction Accuracy = 42.608000000000004%, Running Loss = 5.696801090240479
Prediction Accuracy = 42.6%, Running Loss = 5.6491029262542725
Prediction Accuracy = 42.49399999999999%, Running Loss = 5.650941276550293
Prediction Accuracy = 42.564%, Running Loss = 5.666902112960815
Prediction Accuracy = 42.638%, Running Loss = 5.663587760925293
Prediction Accuracy = 42.616%, Running Loss = 5.678585529327393
Prediction Accuracy = 42.422%, Running Loss = 5.659018087387085
Prediction Accuracy = 42.568%, Running Loss = 5.667091321945191
Prediction Accuracy = 42.376%, Running Loss = 5.658761739730835
Prediction Accuracy = 42.362%, Running Loss = 5.645319700241089
Prediction Accuracy = 42.548%, Running Loss = 5.647214555740357
Prediction Accuracy = 42.461999999999996%, Running Loss = 5.642280578613281
Prediction Accuracy = 42.676%, Running Loss = 5.647678852081299
Prediction Accuracy = 42.592%, Running Loss = 5.667219543457032
Prediction Accuracy = 42.706%, Running Loss = 5.668399858474731
Prediction Accuracy = 42.366%, Running Loss = 5.672966432571411
Prediction Accuracy = 42.7%, Running Loss = 5.65906777381897
Prediction Accuracy = 42.47%, Running Loss = 5.646816062927246
Prediction Accuracy = 42.176%, Running Loss = 5.64574122428894
Prediction Accuracy = 42.266000000000005%, Running Loss = 5.648461771011353
Prediction Accuracy = 42.384%, Running Loss = 5.651471281051636
Prediction Accuracy = 42.272000000000006%, Running Loss = 5.646801328659057
Prediction Accuracy = 42.59400000000001%, Running Loss = 5.65319037437439
Prediction Accuracy = 42.458000000000006%, Running Loss = 5.657367086410522
Prediction Accuracy = 42.318%, Running Loss = 5.64328351020813
Prediction Accuracy = 42.576%, Running Loss = 5.654992961883545
Prediction Accuracy = 42.244%, Running Loss = 5.662443923950195
Prediction Accuracy = 42.444%, Running Loss = 5.673770093917847
Prediction Accuracy = 42.68%, Running Loss = 5.646061658859253
Prediction Accuracy = 42.47%, Running Loss = 5.651607656478882
Prediction Accuracy = 42.27%, Running Loss = 5.650401306152344
Prediction Accuracy = 42.146%, Running Loss = 5.65430908203125
Prediction Accuracy = 42.08%, Running Loss = 5.655282497406006
Prediction Accuracy = 42.089999999999996%, Running Loss = 5.694264888763428
Prediction Accuracy = 42.042%, Running Loss = 5.666230821609497
Prediction Accuracy = 42.14%, Running Loss = 5.651884984970093
Prediction Accuracy = 42.519999999999996%, Running Loss = 5.646458101272583
Prediction Accuracy = 42.464%, Running Loss = 5.6664557456970215
Prediction Accuracy = 42.386%, Running Loss = 5.679570865631104
Prediction Accuracy = 42.576%, Running Loss = 5.648717451095581
Prediction Accuracy = 42.498000000000005%, Running Loss = 5.645286798477173
Prediction Accuracy = 42.504000000000005%, Running Loss = 5.677963781356811
Prediction Accuracy = 42.378%, Running Loss = 5.670206689834595
Prediction Accuracy = 42.15%, Running Loss = 5.661041498184204
Prediction Accuracy = 42.256%, Running Loss = 5.649656200408936
Prediction Accuracy = 42.574%, Running Loss = 5.656423854827881
Prediction Accuracy = 42.529999999999994%, Running Loss = 5.691776371002197
Prediction Accuracy = 42.489999999999995%, Running Loss = 5.676905870437622
Prediction Accuracy = 42.37%, Running Loss = 5.650826072692871
Prediction Accuracy = 42.15%, Running Loss = 5.64946141242981
Prediction Accuracy = 42.32199999999999%, Running Loss = 5.650661325454712
Prediction Accuracy = 42.556%, Running Loss = 5.655446863174438
Prediction Accuracy = 42.489999999999995%, Running Loss = 5.651461601257324
Prediction Accuracy = 42.583999999999996%, Running Loss = 5.668655681610107
Prediction Accuracy = 42.598%, Running Loss = 5.648251676559449
Prediction Accuracy = 42.41%, Running Loss = 5.646715402603149
Prediction Accuracy = 42.611999999999995%, Running Loss = 5.6512915134429935
Prediction Accuracy = 42.35600000000001%, Running Loss = 5.650407457351685
Prediction Accuracy = 42.638000000000005%, Running Loss = 5.655280256271363
Prediction Accuracy = 42.462%, Running Loss = 5.676396465301513
Prediction Accuracy = 42.554%, Running Loss = 5.679079675674439
Prediction Accuracy = 42.534%, Running Loss = 5.679352188110352
Prediction Accuracy = 42.356%, Running Loss = 5.672911071777344
Prediction Accuracy = 42.392%, Running Loss = 5.653409862518311
Prediction Accuracy = 42.327999999999996%, Running Loss = 5.647522020339966
Prediction Accuracy = 42.35%, Running Loss = 5.654517745971679
Prediction Accuracy = 42.342%, Running Loss = 5.65660834312439
Prediction Accuracy = 42.426%, Running Loss = 5.6473287582397464
Prediction Accuracy = 42.472%, Running Loss = 5.641690969467163
Prediction Accuracy = 42.666%, Running Loss = 5.643979835510254
Prediction Accuracy = 42.368%, Running Loss = 5.654975509643554
Prediction Accuracy = 42.382%, Running Loss = 5.664284133911133
Prediction Accuracy = 42.39%, Running Loss = 5.657318735122681
Prediction Accuracy = 42.636%, Running Loss = 5.6527446746826175
Prediction Accuracy = 42.398%, Running Loss = 5.644577836990356
Prediction Accuracy = 42.754%, Running Loss = 5.6632898330688475
Prediction Accuracy = 42.38%, Running Loss = 5.645174360275268
Prediction Accuracy = 42.534%, Running Loss = 5.646115779876709
Prediction Accuracy = 42.352%, Running Loss = 5.647324657440185
Prediction Accuracy = 42.48800000000001%, Running Loss = 5.653191661834716
Prediction Accuracy = 42.507999999999996%, Running Loss = 5.647496700286865
Prediction Accuracy = 42.358000000000004%, Running Loss = 5.649868631362915
Prediction Accuracy = 42.522%, Running Loss = 5.646907806396484
Prediction Accuracy = 42.578%, Running Loss = 5.660870361328125
Prediction Accuracy = 42.089999999999996%, Running Loss = 5.653202819824219
Prediction Accuracy = 42.15400000000001%, Running Loss = 5.654581308364868
Prediction Accuracy = 42.666000000000004%, Running Loss = 5.653939151763916
Prediction Accuracy = 42.291999999999994%, Running Loss = 5.654644536972046
Prediction Accuracy = 42.251999999999995%, Running Loss = 5.665455913543701
Prediction Accuracy = 42.635999999999996%, Running Loss = 5.655269575119019
Prediction Accuracy = 42.54%, Running Loss = 5.651663017272949
Prediction Accuracy = 42.342%, Running Loss = 5.666644287109375
Prediction Accuracy = 42.438%, Running Loss = 5.653429174423218
Prediction Accuracy = 42.196000000000005%, Running Loss = 5.655751180648804
Prediction Accuracy = 42.300000000000004%, Running Loss = 5.651960468292236
Prediction Accuracy = 42.577999999999996%, Running Loss = 5.662504243850708
Prediction Accuracy = 42.584%, Running Loss = 5.659157943725586
Prediction Accuracy = 42.718%, Running Loss = 5.661091136932373
Prediction Accuracy = 42.016%, Running Loss = 5.659470176696777
Prediction Accuracy = 42.474000000000004%, Running Loss = 5.646552848815918
Prediction Accuracy = 42.556%, Running Loss = 5.647122716903686
Prediction Accuracy = 42.59%, Running Loss = 5.644379472732544
Prediction Accuracy = 42.467999999999996%, Running Loss = 5.658038806915283
Prediction Accuracy = 42.41199999999999%, Running Loss = 5.670789480209351
Prediction Accuracy = 42.42199999999999%, Running Loss = 5.648605871200561
Prediction Accuracy = 42.544%, Running Loss = 5.654160785675049
Prediction Accuracy = 42.634%, Running Loss = 5.649557113647461
Prediction Accuracy = 42.556%, Running Loss = 5.6541601657867435
Prediction Accuracy = 42.367999999999995%, Running Loss = 5.66570816040039
Prediction Accuracy = 42.024%, Running Loss = 5.679074668884278
Prediction Accuracy = 42.31400000000001%, Running Loss = 5.659447050094604
Prediction Accuracy = 42.614000000000004%, Running Loss = 5.653427076339722
Prediction Accuracy = 42.626%, Running Loss = 5.645033979415894
Prediction Accuracy = 42.606%, Running Loss = 5.642512559890747
Prediction Accuracy = 42.562%, Running Loss = 5.645816230773926
Prediction Accuracy = 42.542%, Running Loss = 5.645615291595459
Prediction Accuracy = 42.6%, Running Loss = 5.6463371276855465
Prediction Accuracy = 42.476%, Running Loss = 5.6477563858032225
Prediction Accuracy = 42.49%, Running Loss = 5.645869350433349
Prediction Accuracy = 42.538%, Running Loss = 5.660664653778076
Prediction Accuracy = 42.454%, Running Loss = 5.654875564575195
Prediction Accuracy = 42.502%, Running Loss = 5.652218341827393
Prediction Accuracy = 42.589999999999996%, Running Loss = 5.6529316902160645
Prediction Accuracy = 42.548%, Running Loss = 5.6485191822052006
Prediction Accuracy = 42.849999999999994%, Running Loss = 5.654778146743775
